Source,Padanan
paste,rekat
Advanced ,Lanjut
Align ,Rata (n) Ratakan (v)
Alignment ,Perataan
Ampersand,Ampersand
Anchor,Tambat
Assign ,Menetapkan
Author,Pengarang
Back Button,Tombol Kembali
Bar,Bilah
Bookmark ,Markah Buku
Border,Batas/Tepi
Bracket,Braket;Kurung
Breakpoint,Titik Jeda
Bullet,Bulatan
Cancel,Batal
Case Sensitive,Peka Kapital
Cell,Sel
Chart,Bagan/Grafik
Check,Periksa
Check Box,Kotak Centang
Clear,Bersihkan
Click,Klik
Clicking,Mengeklik
Close,Tutup
Column,Kolom
Complex Number,Bilangan Kompleks
Console,Konsol
Content,Konten
Converted,Diubah
Copy,Salinan (n); Salin (v)
Count,Hitung
Current,Saat Ini
Cursor,Kursor
Custom,Ubahan
Database,Pangkalan Data
Debug,Awakutu
Debugging,Pengawakutuan
Deck,Geladak
Dedicated,Khusus
Dedicated Server,Server Khusus
Default,Baku;Bawaan
Define,Tetapkan
Delete,Hapus
Description,Deskripsi;Keterangan
Desktop,Desktop
Device,Perangkat
Digital    ,Digital
Directory,Direktori
Disable,Matikan
Disabled,Dimatikan
Disc    ,Diska
Dock,Lekat;Melekat
Docking,Perlekatan (n);Melekatkan (v) 
Document,Dokumen
Download,Unduh
Driver    ,Pemacu/Penggerak
Dropdown,Tarik Turun
Email,Surel
Embed,Tanamkan
Enable,Nyalakan
Enabled,Dinyalakan
Entry,Entri
Error,Galat
Event,Kejadian
Export,Ekspor
Extension,Ekstensi
Field,Ruas
File,Berkas
Folder,Folder
Font,Fonta
Footer,Kaki
Form,Formulir
Format,Format
Forward Button,Tombol Maju
Frame,Bingkai
Go,Menuju
Gradient,Gradien
Graphic,Grafik
Grid,Kisi
Group,Grup
Harddisk,Diska
Header,Tajuk
Home,Beranda
Hyperlink,Pranala
Image,Citra
Import,Impor
Insert,Sisipkan
Item,Item
Keyboard,Papan Tik
Libraries,Pustaka
Library,Pustaka
Link,Tautan
Lowercase,Huruf Kecil
Margin,Batasan
Master,Master
Mean,Rerata
Metacharacter,Karakter Meta
Modify,Ubah
Mouse,Tetikus
Mouse Pointer,Penunjuk Tetikus
Null,Nol;Nihil
Number,Nomor;Bilangan
Numbered List,Daftar Nomor
Obscure,Mengaburkan
Offline,Luring
On The Fly,Dengan Cepat
Online,Daring
Opaque,Legap
Option,Opsi;Pilihan
Original,Asli
Outline,Draf;Garis Besar
Output,Keluaran
Overview,Ikhtisar
Overwrite,Menimpa
Paste,Tempel
Path,Jalur
Pause,Jeda (n) Menjeda (v)
Picture,Gambar
Pitch,Jarak
Placeholder,Placeholder
Pointer,Penunjuk
Pop Up ,Pop Up
Pre-defined,Dipra-definisi
Predefined,Belum Terdefinisikan
Preference,Preferensi
Presenter,Penyaji
Presenter,Presentator
Preview,Pratinjau
Printer ,Pencetak
Query,Kueri
Range,Rentang
Recent,Terkini
Record,Catatan
Reference,Referensi
Region,Wilayah
Remove,Buang;Membuang
Replace,Ganti;Gantikan
Reset,Reset
Restart,Mulai Ulang
Restore,Pulihkan;Memulihkan
Review,Tinjauan (n);Tinjau (v)
Row,Baris
Run,Jalankan
Semantic,Semantik
Server,Peladen
Set,Atur
Setting,Pengaturan
Shape,Bentuk
Shortcut,Pintasan
Sidebar,Bilah sisi
Slide,Salindia
Specify,Tentukan
Stands,Representasi
Syntax,Sintaksis
Tab,Tab
Tabbed,Tab
Template,Templat
Text,Teks
Then,Kemudian
Through,Lewati
Thumbnail,Thumbnail
Tips,Tips
Toogle,Jungkit
Toolbar,Bilah Alat
Tools,Perkakas
Twip,Twip
Typefaces,Tipografi
Undock,Lepas;Melepas
Undocking,Melepaskan
Update,Pemutakhiran (n);Mutakhirkan (n)
Upload,Unggah
User,Pengguna
User-defined,Tentuan Pengguna
Username,Nama Pengguna
Valid,Valid
View,Tampilan
Wizard,Wisaya
Worksheet,Lembar Kerja
Wrap,Bungkus
